Dataset,PredLen,Model,MSE,MAE,TotalTime(s)
ETTm2,336,Autoformer,0.358743,0.384275,576.38
ETTm2,336,Informer,1.61739,1.00308,259.31
ETTm2,336,Kairosformer_A1,0.381028,0.408308,317.52
ETTm2,336,Kairosformer_A2,0.39584,0.389568,408.6
ETTm2,336,Kairosformer_A3,0.345948,0.375927,410.37
ETTm2,336,Kairosformer_v0,0.376105,0.403125,379.78
ETTm2,336,Transformer,1.122531,0.823197,301.86
ETTm2,720,Autoformer,0.417616,0.415163,855.35
ETTm2,720,Informer,3.882203,1.45087,932.33
ETTm2,720,Kairosformer_A1,0.466186,0.461436,518.41
ETTm2,720,Kairosformer_A2,0.434491,0.426126,577.1
ETTm2,720,Kairosformer_A3,0.4244,0.419107,593.91
ETTm2,720,Kairosformer_v0,0.432633,0.433135,496.78
ETTm2,720,Transformer,3.430783,1.400062,564.76
Electricity,24,Autoformer,0.168589,0.287867,292.68
Electricity,24,Informer,0.250856,0.356811,132.05
Electricity,24,Kairosformer_A1,0.175079,0.294805,153.66
Electricity,24,Kairosformer_A2,0.165138,0.288798,228.97
Electricity,24,Kairosformer_A3,0.176531,0.297435,248.67
Electricity,24,Kairosformer_v0,0.184579,0.307161,194.53
Electricity,24,Transformer,0.227638,0.33721,132.72
Electricity,48,Autoformer,0.182623,0.298829,199.26
Electricity,48,Informer,0.263758,0.361914,202.69
Electricity,48,Kairosformer_A1,0.187533,0.303646,111.28
Electricity,48,Kairosformer_A2,0.175973,0.293958,266.45
Electricity,48,Kairosformer_A3,0.178215,0.294781,282.31
Electricity,48,Kairosformer_v0,0.212169,0.3307,217.35
Electricity,48,Transformer,0.241416,0.344593,129.34
Electricity,96,Autoformer,0.212882,0.326467,381.98
Electricity,96,Informer,0.267271,0.362433,234.67
Electricity,96,Kairosformer_A1,0.194622,0.309079,216.18
Electricity,96,Kairosformer_A2,0.204504,0.315009,328.0
Electricity,96,Kairosformer_A3,0.202471,0.314267,304.87
Electricity,96,Kairosformer_v0,0.234878,0.349591,252.77
Electricity,96,Transformer,0.257974,0.357004,196.94
Electricity,192,Autoformer,0.217863,0.328579,308.83
Electricity,192,Informer,0.280337,0.377001,203.37
Electricity,192,Kairosformer_A1,0.205624,0.319539,281.12
Electricity,192,Kairosformer_A2,0.223453,0.332455,365.55
Electricity,192,Kairosformer_A3,0.225799,0.333078,462.94
Electricity,192,Kairosformer_v0,0.273555,0.383898,317.42
Electricity,192,Transformer,0.270175,0.367829,141.31
Electricity,336,Autoformer,0.226242,0.336855,550.12
Electricity,336,Informer,0.287252,0.385733,362.5
Electricity,336,Kairosformer_A1,0.21241,0.327228,398.42
Electricity,336,Kairosformer_A2,0.249647,0.357951,576.52
Electricity,336,Kairosformer_A3,0.339286,0.422303,268.78
Electricity,336,Kairosformer_v0,0.298261,0.402738,413.56
Electricity,336,Transformer,0.274507,0.369411,371.26
Electricity,720,Autoformer,0.27039,0.375557,704.59
Electricity,720,Informer,0.309886,0.396885,353.99
Electricity,720,Kairosformer_A1,0.23239,0.341296,463.13
Electricity,720,Kairosformer_A2,0.314961,0.409038,1124.11
Electricity,720,Kairosformer_A3,0.347638,0.430861,680.07
Electricity,720,Kairosformer_v0,0.361557,0.445143,656.2
Electricity,720,Transformer,0.280233,0.371713,424.64
Exchange Rate,24,Autoformer,0.07147,0.193985,35.9
Exchange Rate,24,Informer,0.507454,0.579645,47.35
